* Factoid Sources
** Tutorials
     |----+-------------------------------------------------------------------------------------------------------------------------------------------|
     | ID | Link                                                                                                                                      |
     |----+-------------------------------------------------------------------------------------------------------------------------------------------|
     | T1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/ICDM2011_SentimentAnalysisInPracticeTutorial.pdf |
     | T2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/OpinionMining_Kavita_HyunDuk_0_0.pdf             |
     | T3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/Sentiment-Analysis-tutorial-AAAI-2011.pdf        |
     | T4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/opinion-mining.pdf                               |
     |----+-------------------------------------------------------------------------------------------------------------------------------------------|
** Surveys
   |----+--------------------------------------------------------------------------------------------------------------------------------------|
   | ID | Link                                                                                                                                 |
   |----+--------------------------------------------------------------------------------------------------------------------------------------|
   | S1 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/omsa.pdf                                    |
   | S2 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/NLP-handbook-sentiment-analysis.pdf         |
   | S3 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/V2I600263.pdf                               |
   | S4 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/SA-Literature%20Survey-2012-Subhabratam.pdf |
   | S5 | http://clair.si.umich.edu/fuse/rdg_summarization/tacl_feb_experiments/factoids/sentiment/morgan_clay_sentiment.pdf                   |
   |----+--------------------------------------------------------------------------------------------------------------------------------------|

* Factoids

|-----------+-----------------------------------------------------------------------------------------------+----+----+----+----+----+----+----+------------|
| Factoid # | Factoid                                                                                       | T1 | T2 | T3 | T4 | S1 | S2 | S3 | # factoids |
|           | link based features                                                                           |    | X  |    |    |    |    |    | X          |
|           | stylistic features                                                                            |    | X  |    |    |    |    |    | X          |
|           | features: term presence                                                                       |    |    |    |    | X  |    |    | X          |
|           | features: topic oriented features                                                             |    |    |    |    | X  |    |    | X          |
|           | features: opinion words / phrases                                                             |    |    |    |    |    | X  |    | X          |
|           | supervised learning: Logistic Regression                                                      | X  |    |    |    |    |    |    | X          |
|           | supervised learning: K-nearest neighbors (KNN)                                                |    |    |    |    |    |    | X  | X          |
|           | supervised learning: Winnow                                                                   |    |    |    |    |    |    | X  | X          |
|           | language models                                                                               |    |    |    |    | X  |    |    | X          |
|           | discourse structure                                                                           |    |    |    |    | X  |    |    | X          |
|           | learning syntactic patterns                                                                   | X  |    |    |    |    |    |    | X          |
|           | automatic topic extraction                                                                    | X  |    |    |    |    |    |    | X          |
|           | joint topic-sentiment analysis                                                                |    |    |    |    | X  |    |    | X          |
|           | orientation classification for topics                                                         | X  |    |    |    |    |    |    | X          |
|           | applications: recommendation systems                                                          |    |    |    |    | X  |    |    | X          |
|           | corpus: Blog06                                                                                |    |    |    |    | X  |    |    | X          |
|           | corpus: Congressional floor-debate transcripts                                                |    |    |    |    | X  |    |    | X          |
|           | corpus: Cornell movie-review datasets                                                         |    |    |    |    | X  |    |    | X          |
|           | corpus: Customer review datasets                                                              |    |    |    |    | X  |    |    | X          |
|           | corpus: Economining                                                                           |    |    |    |    | X  |    |    | X          |
|           | corpus: French sentences                                                                      |    |    |    |    | X  |    |    | X          |
|           | corpus: MPQA corpus                                                                           |    |    |    |    | X  |    |    | X          |
|           | corpus: mutliple aspect restaurant reviews                                                    |    |    |    |    | X  |    |    | X          |
|           | corpus: multi-domain sentiment dataset                                                        |    |    |    |    | X  |    |    | X          |
|           | corpus: NTCIR mutlilingual corpus                                                             |    |    |    |    | X  |    |    | X          |
|           | corpus: Review search results set                                                             |    |    |    |    | X  |    |    | X          |
|           | NTCIR opinion analysis pilot task                                                             |    |    |    |    | X  |    |    | X          |
|           | NTCIR multilingual opinion analysis task (MOAT)                                               |    |    |    |    | X  |    |    | X          |
|           | OpQA corpus                                                                                   |    |    |    |    | X  |    |    | X          |
|           | Systems: OPINE                                                                                |    |    |    |    |    |    | X  | X          |
|-----------+-----------------------------------------------------------------------------------------------+----+----+----+----+----+----+----+------------|
  #+TBLFM: $10=vsum($3..$9)



